x,y,t,phi,N,u,vx,vy
29.325,29.325,0.0,0.2994767620806402,12.0,13.171147979198523,-3.1075727176862924,5.439701523443812
85.975,29.325,0.0,0.4515235457063712,15.0,13.710744566255894,-0.9858505715997211,-5.100018202035927
142.625,29.325,0.0,0.38377192982456143,12.0,10.489750465631564,0.8424053020661756,0.5700077659878796
199.27499999999998,29.325,0.0,0.3767313019390582,10.0,12.928128474558395,1.4987708537574154,-4.484176268834458
255.925,29.325,0.0,0.4090489381348107,11.0,17.457544702855483,8.264279475811412,-5.686390246048906
312.575,29.325,0.0,0.47023809523809523,14.0,20.206822648743128,8.525041201009433,-8.323223881629218
369.225,29.325,0.0,0.3548784241305017,11.0,16.78967633151403,9.095610356617629,-7.320405147567141
425.875,29.325,0.0,0.34164358264081257,11.0,16.863755678765358,-12.564643907434213,-2.922176685379259
482.525,29.325,0.0,0.3818922305764411,16.0,17.42427125412512,0.08563759225293177,-5.2050415905748135
539.175,29.325,0.0,0.4275161588180979,11.0,19.625859757549264,13.885951108242772,-2.6966889337749653
595.825,29.325,0.0,0.3268698060941828,12.0,12.065500806756043,3.849179924582362,-0.9120612719630129
652.4749999999999,29.325,0.0,0.3818922305764411,12.0,14.731904714969117,1.7390583740830756,12.268854969580522
709.125,29.325,0.0,0.38411819021237303,11.0,11.512459009378118,4.672715533640105,6.593390439247695
765.775,29.325,0.0,0.5096952908587258,15.0,18.409756387716794,8.66453200913598,10.281445030372515
822.425,29.325,0.0,0.24906015037593984,8.0,18.020386268462453,12.671102606464961,6.762382219544733
879.075,29.325,0.0,0.3151738996614343,11.0,22.782324336391543,2.9632445133931706,-4.1732555022431645
935.7249999999999,29.325,0.0,0.5198522622345337,16.0,13.414660053571003,-2.5065982434937344,-6.41929223916452
992.375,29.325,0.0,0.5504385964912281,18.0,18.58537930987065,0.3219418956989628,6.018022237111137
1049.0249999999999,29.325,0.0,0.4899969221298861,17.0,11.817232858004767,2.7467306806816625,-6.213277868605081
1105.675,29.325,0.0,0.5140043090181594,20.0,11.668873593703898,-4.913785412892551,-5.90833635243849
29.325,85.975,0.0,0.4164358264081256,13.0,12.891055581917147,7.7126022282616935,-0.8889207848172985
85.975,85.975,0.0,0.2960911049553709,8.0,18.797367657380338,13.965455261614682,-6.013836126185742
142.625,85.975,0.0,0.62468671679198,14.0,18.917212411937363,12.216370152609159,-1.7827263079164364
199.27499999999998,85.975,0.0,0.4275161588180979,11.0,11.938514242339618,1.2303114083425368,-4.23284771794817
255.925,85.975,0.0,0.44998461064943057,13.0,16.42284015613203,1.8305875584386528,-7.981874039381513
312.575,85.975,0.0,0.45206766917293234,16.0,13.192162179470078,10.760484294484302,-0.5770034112617813
369.225,85.975,0.0,0.40843336411203446,12.0,19.440954112008615,12.143205861489895,-0.2143122451755417
425.875,85.975,0.0,0.42720837180670973,15.0,18.451449591640067,5.831797090425019,-11.073013689181419
482.525,85.975,0.0,0.36967418546365916,13.0,22.720704879622495,-1.9768300396678242,-20.70068094545104
539.175,85.975,0.0,0.40381655894121266,11.0,14.994230774869841,7.76349499585941,-1.4235210746020988
595.825,85.975,0.0,0.5029239766081871,14.0,12.880783461005695,-3.0631085220744376,-4.019278284116938
652.4749999999999,85.975,0.0,0.49279448621553884,12.0,16.60742268331187,-3.1285732740644074,-1.2338540201571537
709.125,85.975,0.0,0.44321329639889195,14.0,10.145058787564235,-0.7537887482847084,-3.6544125346412515
765.775,85.975,0.0,0.4622960911049554,13.0,15.582712573335193,4.243962197000903,-11.441757682895739
822.425,85.975,0.0,0.4483082706766917,15.0,12.528952309372524,11.124959713773706,-2.3695478004259116
879.075,85.975,0.0,0.5435518621114189,18.0,15.881094099665567,3.129662757813776,-8.453821322567585
935.7249999999999,85.975,0.0,0.6297322253000923,19.0,20.738243124269246,4.097364011191971,-5.065571226043397
992.375,85.975,0.0,0.6071428571428571,17.0,15.553080310124797,-4.151055244360673,-3.922012485113332
1049.0249999999999,85.975,0.0,0.5195444752231456,17.0,12.38160486121821,1.822601982166724,5.606778585140272
1105.675,85.975,0.0,0.47799322868574945,19.0,13.23056552319462,2.582920966805481,-7.549012396300869
29.325,142.625,0.0,0.4451754385964912,17.0,11.80852148441328,0.688296527107963,2.2976521452023673
85.975,142.625,0.0,0.4291979949874687,16.0,18.30259219828343,11.472374424625015,-6.826462447792429
142.625,142.625,0.0,0.47512755102040816,14.0,19.73445467981059,9.899102008639478,-2.3406865349241146
199.27499999999998,142.625,0.0,0.5545112781954887,16.0,12.861630246767755,-0.5010980290488325,-0.8742020527947707
255.925,142.625,0.0,0.4692982456140351,15.0,12.556709852874933,-0.45102977815178147,-6.226755277724526
312.575,142.625,0.0,0.4413265306122449,14.0,20.58731174310702,12.292172097210331,-7.768914099031463
369.225,142.625,0.0,0.34523809523809523,10.0,21.65785038046947,14.482895840332802,-12.604247032738808
425.875,142.625,0.0,0.5341478696741855,13.0,17.65247966982506,6.140381156397163,-0.6592540345056295
482.525,142.625,0.0,0.3708545918367347,9.0,16.723240441531708,-6.161526665012538,-10.767115626118802
539.175,142.625,0.0,0.33865914786967416,10.0,10.2728436021283,-1.6455685020160402,-5.875244612334851
595.825,142.625,0.0,0.4558270676691729,12.0,12.397955033064767,1.4622284096160065,-6.96951231448542
652.4749999999999,142.625,0.0,0.4897959183673469,16.0,21.32961716578029,-4.070066451963696,-17.6435302023448
709.125,142.625,0.0,0.4598997493734336,14.0,18.973974281728296,-2.2579367492274875,-15.694873542567146
765.775,142.625,0.0,0.2816416040100251,9.0,17.652456371204423,10.947687722136621,6.049705205690552
822.425,142.625,0.0,0.42251275510204084,16.0,19.384277017333034,16.365203833469,-1.4990632426548913
879.075,142.625,0.0,0.38596491228070173,12.0,23.756527828002373,16.223863398943852,-7.018091798971963
935.7249999999999,142.625,0.0,0.5294486215538847,19.0,14.792935024289966,10.376732269159689,-6.8545901029234795
992.375,142.625,0.0,0.5188137755102041,15.0,24.66074211935163,-1.6305676049520623,-20.116225408110402
1049.0249999999999,142.625,0.0,0.5106516290726817,16.0,12.138839550588397,1.1757049026425603,-4.012431955954365
1105.675,142.625,0.0,0.5426065162907269,16.0,14.61738789877698,-4.249255032115045,3.0063875555269086
29.325,199.27499999999998,0.0,0.4856879039704525,17.0,24.83603953487969,22.49716791848979,-4.920778233595331
85.975,199.27499999999998,0.0,0.4789165897199138,14.0,28.67331500613194,23.89863070303416,-12.749375834749584
142.625,199.27499999999998,0.0,0.5078320802005013,13.0,17.648510826091634,7.069052710832654,-7.680607628930239
199.27499999999998,199.27499999999998,0.0,0.42874730686365037,14.0,10.716431373382155,-4.4441285307331935,-5.377833076062119
255.925,199.27499999999998,0.0,0.5084641428131733,16.0,17.52737716420418,4.13677137792774,-10.88682794689233
312.575,199.27499999999998,0.0,0.39223057644110276,14.0,24.83879975100815,13.683750912888199,-17.941318515178693
369.225,199.27499999999998,0.0,0.37950138504155123,13.0,19.494080265347545,12.443255038371872,8.498883340334281
425.875,199.27499999999998,0.0,0.36872883964296704,9.0,13.738012749218644,4.737322391645975,0.7332601118013565
482.525,199.27499999999998,0.0,0.4201127819548872,14.0,10.904768148214572,-3.553350298723666,-0.8286041692367886
