frame,index,manv,stdev
1.0,0.0,0.46257408704411784,
1.0,1.0,0.26774539457493113,
1.0,2.0,0.42939831389377797,
1.0,3.0,0.361632690810657,
1.0,4.0,0.44722010675020174,
1.0,5.0,0.5388423940372077,
1.0,6.0,0.2883380441743833,
1.0,7.0,0.20588298466955504,
1.0,8.0,0.2867077965277043,
1.0,9.0,0.31850645430124996,
1.0,10.0,0.25977938932406197,
1.0,11.0,0.25947671862605703,
1.0,12.0,0.26998662058521194,
1.0,13.0,0.36833546204107337,
1.0,14.0,0.2544889718136428,
1.0,15.0,0.2286132577691333,
1.0,16.0,0.25928547416400394,
1.0,17.0,0.21148055105772587,
1.0,18.0,0.3410696506194391,
1.0,19.0,0.25702873422167233,
13.0,0.0,0.3177554501723353,
13.0,1.0,0.1172034505017938,
13.0,2.0,0.32307639997191756,
13.0,3.0,0.23444619006118333,
13.0,4.0,0.30859891632203185,
13.0,5.0,0.44922218094694444,
13.0,6.0,0.18062910475523664,
13.0,7.0,0.01828736792012614,
13.0,8.0,0.16471524171402574,
13.0,9.0,0.2515752532012234,
13.0,10.0,0.12659593339382474,
13.0,11.0,0.12040689220879783,
13.0,12.0,0.14561654497780183,
13.0,13.0,0.2626424681028658,
13.0,14.0,0.11402405768579855,
13.0,15.0,0.1222879185758734,
13.0,16.0,0.1265941589990638,
13.0,17.0,0.1818878764748706,
13.0,18.0,0.27433434236060317,
13.0,19.0,0.17322343253034678,
25.0,0.0,0.228645500106837,
25.0,1.0,0.05179672346326643,
25.0,2.0,0.3063918858239291,
25.0,3.0,0.22998518816950056,
25.0,4.0,0.27261466105305493,
25.0,5.0,0.40108795322186225,
25.0,6.0,0.15113029314369628,
25.0,7.0,0.054515196041778534,
25.0,8.0,0.21831551154241233,
25.0,9.0,0.15483141359881067,
25.0,10.0,0.06289219783688783,
25.0,11.0,0.09357986991664224,
25.0,12.0,0.12039862168098446,
25.0,13.0,0.24133645755482935,
25.0,14.0,0.057880089964824986,
25.0,15.0,0.07147533298359884,
25.0,16.0,0.1411485416585484,
25.0,17.0,0.17668159608071807,
25.0,18.0,0.2515918908923745,
25.0,19.0,0.1215673024877416,
37.0,0.0,0.2365229770921778,
37.0,1.0,0.041084098402208745,
37.0,2.0,0.2648502308246828,
37.0,3.0,0.19885533865736268,
37.0,4.0,0.3273246927022377,
37.0,5.0,0.32173547267658503,
37.0,6.0,0.2158329668103274,
37.0,7.0,0.06399161893241849,
37.0,8.0,0.2341168853600246,
37.0,9.0,0.08478280667364652,
37.0,10.0,0.10470405952856446,
37.0,11.0,0.10291030504522805,
37.0,12.0,0.12642766788769444,
37.0,13.0,0.22091484767434702,
37.0,14.0,0.08211372977254132,
37.0,15.0,0.0949404736532991,
37.0,16.0,0.21010969229876986,
37.0,17.0,0.1465723733075678,
37.0,18.0,0.21296415842105454,
37.0,19.0,0.10324024422144286,
49.0,0.0,0.3605009136461614,
49.0,1.0,0.13159016280663716,
49.0,2.0,0.24023465215523115,
49.0,3.0,0.21218990803559884,
49.0,4.0,0.3146966404962566,
49.0,5.0,0.27855385147500566,
49.0,6.0,0.3356116465490754,
49.0,7.0,0.07800844627760406,
49.0,8.0,0.2343612057915758,
49.0,9.0,0.1385234255564077,
49.0,10.0,0.14830900367470934,
49.0,11.0,0.17165967038912744,
49.0,12.0,0.17646516377478688,
49.0,13.0,0.20581026148849807,
49.0,14.0,0.1323810362343645,
49.0,15.0,0.040290456808356225,
49.0,16.0,0.24092733561502117,
49.0,17.0,0.17994733127825502,
49.0,18.0,0.21870761713914036,
49.0,19.0,0.12406114915769631,
61.0,0.0,0.4914561089886191,
61.0,1.0,0.22451447704349203,
61.0,2.0,0.2249692622989266,
61.0,3.0,0.22885571543888852,
61.0,4.0,0.27894427967644253,
61.0,5.0,0.3035004609621554,
61.0,6.0,0.3598419049469183,
61.0,7.0,0.15058810080055163,
61.0,8.0,0.2235637966085357,
61.0,9.0,0.2160103441500127,
61.0,10.0,0.09553242109126003,
61.0,11.0,0.18571908193812156,
61.0,12.0,0.14382051355262881,
61.0,13.0,0.2274327495177123,
61.0,14.0,0.17931513866940946,
61.0,15.0,0.036538044375874795,
61.0,16.0,0.22308835754118525,
61.0,17.0,0.2804708671902543,
61.0,18.0,0.16563723078440507,
61.0,19.0,0.13524494901462472,
73.0,0.0,0.5996114514612809,
73.0,1.0,0.32196943500214475,
73.0,2.0,0.2969262811161413,
73.0,3.0,0.2800187642941668,
73.0,4.0,0.22708835403355898,
73.0,5.0,0.3273663218577709,
73.0,6.0,0.36211656989722196,
73.0,7.0,0.23000303628541374,
73.0,8.0,0.17760168408975097,
73.0,9.0,0.233823488606244,
73.0,10.0,0.07520429384232159,
73.0,11.0,0.2233247654241443,
73.0,12.0,0.14962193465701257,
73.0,13.0,0.23314114822223533,
73.0,14.0,0.22970680671558466,
73.0,15.0,0.032741348754542966,
73.0,16.0,0.1556285732769543,
73.0,17.0,0.32658639964622327,
73.0,18.0,0.18180749304877503,
73.0,19.0,0.16395164868707812,
85.0,0.0,0.6784454882323514,
85.0,1.0,0.4583822271467088,
85.0,2.0,0.3546707827391053,
85.0,3.0,0.3351801139464347,
85.0,4.0,0.2256966013699293,
85.0,5.0,0.33180255086788,
85.0,6.0,0.35671671928367893,
85.0,7.0,0.3029846242556262,
85.0,8.0,0.14101642767845388,
85.0,9.0,0.18996969272915934,
85.0,10.0,0.10532288225322296,
85.0,11.0,0.19443807007777317,
85.0,12.0,0.19973256213958832,
85.0,13.0,0.19386259016230703,
85.0,14.0,0.24923485314867652,
85.0,15.0,0.08865247875756067,
85.0,16.0,0.11036060877240998,
85.0,17.0,0.29890263712480175,
85.0,18.0,0.25341903815586864,
85.0,19.0,0.16463023478524036,
97.0,0.0,0.7547002280257357,
97.0,1.0,0.5331606449678318,
97.0,2.0,0.43000391777158226,
97.0,3.0,0.35518024689327593,
97.0,4.0,0.27985213314433255,
97.0,5.0,0.3066300314341802,
97.0,6.0,0.3551283461664593,
97.0,7.0,0.339870147353921,
97.0,8.0,0.12919033737165425,
97.0,9.0,0.14232025555449804,
97.0,10.0,0.12218807157981788,
97.0,11.0,0.15790388226769766,
97.0,12.0,0.23343927687043728,
97.0,13.0,0.1667787098189091,
97.0,14.0,0.23060651527923728,
97.0,15.0,0.11932750625276906,
97.0,16.0,0.08658112918589203,
97.0,17.0,0.23541243042230722,
97.0,18.0,0.3033266860063418,
97.0,19.0,0.1362833855073886,
109.0,0.0,0.8125571728418679,
109.0,1.0,0.6230071743964466,
109.0,2.0,0.46031336192805405,
109.0,3.0,0.39713395310256894,
109.0,4.0,0.3136597158486552,
109.0,5.0,0.25624697300535326,
109.0,6.0,0.3248981170695208,
109.0,7.0,0.36270906649104584,
109.0,8.0,0.1559635579722489,
109.0,9.0,0.11813182952809957,
109.0,10.0,0.13594967022574636,
109.0,11.0,0.09441439188841491,
109.0,12.0,0.22934459038741423,
109.0,13.0,0.13612819691875486,
109.0,14.0,0.18015630964292143,
109.0,15.0,0.12655442944732118,
109.0,16.0,0.061466664587296715,
109.0,17.0,0.18623462254371517,
109.0,18.0,0.2956834945014397,
109.0,19.0,0.12519200800574262,
121.0,0.0,0.8531175800714662,
121.0,1.0,0.6724944515625534,
121.0,2.0,0.48269426161947776,
121.0,3.0,0.43715443879360316,
121.0,4.0,0.35450947823105716,
121.0,5.0,0.21821067736072983,
121.0,6.0,0.25700596168791484,
121.0,7.0,0.35513728729299404,
121.0,8.0,0.1532898178545218,
121.0,9.0,0.11215558286188179,
121.0,10.0,0.1235804097378026,
121.0,11.0,0.08923908586817446,
121.0,12.0,0.20390594108992435,
121.0,13.0,0.12017879361924667,
121.0,14.0,0.1584186789583257,
121.0,15.0,0.1307806071939784,
121.0,16.0,0.060376467068158725,
121.0,17.0,0.1483883633355845,
121.0,18.0,0.2761903868799925,
121.0,19.0,0.1021684592099218,
133.0,0.0,0.9261050029189378,
133.0,1.0,0.871726631210685,
133.0,2.0,0.7006275329629669,
133.0,3.0,0.5108051582386974,
133.0,4.0,0.4628228919614154,
133.0,5.0,0.3717579602589261,
133.0,6.0,0.21748358506127366,
133.0,7.0,0.2029793747487856,
133.0,8.0,0.30845464253243987,
133.0,9.0,0.147433535750165,
133.0,10.0,0.11015736616661743,
133.0,11.0,0.12974571959742381,
133.0,12.0,0.08174252599872804,
133.0,13.0,0.16782061005309296,
133.0,14.0,0.10155255056930718,
133.0,15.0,0.1548250980644322,
133.0,16.0,0.12053428293604393,
133.0,17.0,0.05394576432321884,
133.0,18.0,0.1257819936195528,
133.0,19.0,0.24842547681142468,
145.0,0.0,0.9500828517949185,
145.0,1.0,0.901009021463441,
145.0,2.0,0.7660376361325929,
145.0,3.0,0.5725793843552598,
145.0,4.0,0.49452325952188225,
145.0,5.0,0.4401437677462919,
145.0,6.0,0.27035885549669453,
145.0,7.0,0.16504519944079862,
145.0,8.0,0.24316209817301762,
145.0,9.0,0.1775385142221499,
145.0,10.0,0.11902084338313698,
145.0,11.0,0.14817646868064624,
145.0,12.0,0.08630640776065893,
145.0,13.0,0.1306036810232615,
145.0,14.0,0.12114781161953932,
145.0,15.0,0.09734043305249031,
145.0,16.0,0.16598712437397048,
145.0,17.0,0.05850336080493005,
145.0,18.0,0.07577323940246954,
145.0,19.0,0.22073637961015524,
157.0,0.0,0.9371457119218483,
157.0,1.0,0.8926048015587732,
157.0,2.0,0.7334906655928702,
157.0,3.0,0.5565276338545555,
157.0,4.0,0.5112327955812898,
157.0,5.0,0.4125065191765928,
157.0,6.0,0.22687975537148522,
157.0,7.0,0.14405954881687752,
157.0,8.0,0.23028795299068452,
157.0,9.0,0.11527390549736691,
157.0,10.0,0.12630632135393785,
157.0,11.0,0.15750658787765914,
157.0,12.0,0.09161590879786384,
157.0,13.0,0.11156211813685832,
157.0,14.0,0.09613989272504408,
157.0,15.0,0.12300387895451412,
157.0,16.0,0.12568944207569602,
157.0,17.0,0.07626284875761428,
157.0,18.0,0.09347027201973993,
157.0,19.0,0.1975917864467275,
169.0,0.0,0.944604765166067,
169.0,1.0,0.9108569563352087,
169.0,2.0,0.7896397550009316,
169.0,3.0,0.6102066627151949,
169.0,4.0,0.5337514544001688,
169.0,5.0,0.4749729441809897,
169.0,6.0,0.30399272037812664,
169.0,7.0,0.14529610241045146,
169.0,8.0,0.18690212130771403,
169.0,9.0,0.13086425284468406,
169.0,10.0,0.09429615171347788,
169.0,11.0,0.18398005868879316,
169.0,12.0,0.11793931214566067,
169.0,13.0,0.10054229157855689,
169.0,14.0,0.11972780717386375,
169.0,15.0,0.08679606006077965,
