frame,index,speed,stdev
1.0,0.0,9.89684221784015,6.341825009513364
1.0,1.0,8.583378021357099,4.640540976963037
1.0,2.0,9.503787369275274,5.136536448823359
1.0,3.0,9.07235034586894,5.561779851480843
1.0,4.0,9.432688176470142,6.021123991348073
1.0,5.0,10.531618740501065,6.523444442924009
1.0,6.0,10.207090639984697,5.165395483855429
1.0,7.0,9.82495213635492,6.625438956667274
1.0,8.0,7.809119195536339,4.624417567149311
1.0,9.0,11.675011532643332,6.9747028960070585
1.0,10.0,10.238806888852826,5.41325763716363
1.0,11.0,9.297525287921871,6.410795674254078
1.0,12.0,10.32957612609571,7.494959825968775
1.0,13.0,9.328043194436837,5.047875955956465
1.0,14.0,8.149792964479598,4.533900607957228
1.0,15.0,8.860793167430614,4.594311322667539
1.0,16.0,11.48498347691301,6.3601611949956265
1.0,17.0,9.774538551430595,6.754688351179675
1.0,18.0,10.94767426999189,6.035779480061073
1.0,19.0,10.71658107090194,6.776464095215857
11.0,0.0,8.942113930315125,6.257926844300099
11.0,1.0,7.541364969335496,4.903801315578713
11.0,2.0,8.539976476869303,5.496888865327148
11.0,3.0,8.174785080474956,5.396324679314531
11.0,4.0,8.330771509463535,5.091712659345407
11.0,5.0,8.822844122213207,5.89074613665287
11.0,6.0,9.277246932643509,4.899080592860421
11.0,7.0,9.184097195157394,6.0915174980944204
11.0,8.0,8.261322318572095,5.140828909771699
11.0,9.0,10.274174162815502,5.453795141893377
11.0,10.0,9.64642843588838,6.756023165767343
11.0,11.0,8.72920841603081,5.5888916540805464
11.0,12.0,10.286890079266081,6.9676299882072215
11.0,13.0,9.123462562119839,4.841769990720379
11.0,14.0,7.798207920157557,4.560068006744266
11.0,15.0,8.480461756447378,5.063686698793166
11.0,16.0,9.764998722993742,5.664794018405971
11.0,17.0,9.639889669368767,6.2690164571090925
11.0,18.0,10.298322522768492,5.610627533819901
11.0,19.0,11.367839184497198,7.239716295804818
21.0,0.0,9.195282799149354,6.006625628980696
21.0,1.0,7.912231772863228,5.149394689463228
21.0,2.0,8.649875349126486,5.69031519777665
21.0,3.0,8.294888727839417,5.043723415815969
21.0,4.0,8.551892166122904,5.299773445452524
21.0,5.0,8.94747368816046,5.851711732267817
21.0,6.0,9.361250312473254,5.020586153947691
21.0,7.0,9.941531006164617,6.167360535015124
21.0,8.0,9.877230909757957,5.950978598050435
21.0,9.0,10.330097076401993,5.343513079175858
21.0,10.0,9.677312708873721,6.152931510811088
21.0,11.0,9.014379527163085,5.370067421771238
21.0,12.0,10.728637591121466,6.629295866105442
21.0,13.0,9.701139974841801,5.080161012834133
21.0,14.0,8.537718896265801,4.948688920734371
21.0,15.0,9.019511174532441,5.220883918102533
21.0,16.0,10.197897808286392,5.820288602163504
21.0,17.0,10.719754172826287,6.196670530337656
