FRAME,POS_X,POS_Y,VEL_X,VEL_Y,DIFF_T,TRACK_ID
0.0,41.78018991561469,677.6557884375172,-7.055688703556076,-2.0248566173853533,12.0,0.0
12.0,38.95791443419226,678.4657310844714,2.422815500875952,3.92647765433793,12.0,0.0
24.0,39.92704063454264,676.8951400227362,6.796064061491549,6.697477063196118,12.0,0.0
36.0,42.64546625913926,674.2161491974578,6.068210873731648,12.581542089891684,12.0,0.0
48.0,45.07275060863192,669.1835323615011,6.017703935085503,4.392570169154055,12.0,0.0
60.0,47.47983218266612,667.4265042938395,3.8171942936481607,4.260379912533949,12.0,0.0
0.0,223.91530889327967,980.4645024624745,6.123644993095496,-14.600692424577915,12.0,1.0
12.0,226.36476689051787,986.3047794323056,6.038057356232258,-16.484520163357956,12.0,1.0
24.0,228.77998983301077,992.8985874976488,-0.47167760571824147,2.7069365124009437,12.0,1.0
36.0,228.59131879072348,991.8158128926884,-3.2917472865810993,5.7902851205804495,12.0,1.0
48.0,227.27461987609104,989.4996988444562,-4.9484107941998445,-18.05896118569933,12.0,1.0
60.0,225.2952555584111,996.723283318736,-0.1123020472717684,-35.98471401781211,12.0,1.0
0.0,63.57164134129642,676.8318631362655,-9.361844280414946,2.3677674128609283,12.0,2.0
12.0,59.82690362913044,675.8847561711211,-6.77348465882309,10.508296613179482,12.0,2.0
24.0,57.117509765601206,671.6814375258493,-6.104296723452443,22.27931710583448,12.0,2.0
36.0,54.67579107622023,662.7697106835155,-4.250937305462124,11.55593291131197,12.0,2.0
48.0,52.97541615403538,658.1473375189908,-0.6312254063010769,3.840651336040821,12.0,2.0
60.0,52.72292599151495,656.6110769845744,-4.740287140801698,8.955030573664544,12.0,2.0
0.0,639.3597745886206,981.2313083467556,-1.815578958091919,-0.23539631372756276,12.0,3.0
12.0,638.6335430053838,981.3254668722466,17.86419770020501,2.3021998892843953,12.0,3.0
24.0,645.7792220854658,980.4045869165328,10.548601094755554,0.8673713637051605,12.0,3.0
