frame,index,packing,stdev
1.0,0.0,0.48490075042362624,
1.0,1.0,0.44002662793512465,
1.0,2.0,0.4819051077221012,
1.0,3.0,0.5167634955216655,
1.0,4.0,0.4781832486080852,
1.0,5.0,0.48108811425804887,
1.0,6.0,0.4078915516824014,
1.0,7.0,0.4638707334785766,
1.0,8.0,0.4225671750181554,
1.0,9.0,0.44668361171629145,
1.0,10.0,0.4352154442023723,
1.0,11.0,0.421719922536916,
1.0,12.0,0.42483660130718953,
1.0,13.0,0.42208303074316145,
1.0,14.0,0.4395424836601307,
1.0,15.0,0.43167513919147904,
1.0,16.0,0.44365770999757925,
1.0,17.0,0.4463507625272331,
1.0,18.0,0.45763737593802956,
1.0,19.0,0.44710723795691115,
2.0,0.0,0.4861111111111111,
2.0,1.0,0.43878600823045266,
2.0,2.0,0.4812091503267974,
2.0,3.0,0.5167332365044783,
2.0,4.0,0.4779714354877754,
2.0,5.0,0.48338779956427014,
2.0,6.0,0.41312636165577343,
2.0,7.0,0.46377995642701525,
2.0,8.0,0.4254115226337449,
2.0,9.0,0.44610869038973616,
2.0,10.0,0.43597191963205034,
2.0,11.0,0.42259743403534256,
2.0,12.0,0.4245037521181312,
2.0,13.0,0.42510893246187365,
2.0,14.0,0.44290123456790126,
2.0,15.0,0.4322500605180344,
2.0,16.0,0.44604817235536187,
2.0,17.0,0.44604817235536187,
2.0,18.0,0.4623275236020334,
2.0,19.0,0.4466230936819172,
3.0,0.0,0.46598886468167516,
3.0,1.0,0.4386952311788913,
3.0,2.0,0.4843863471314452,
3.0,3.0,0.5199104333091261,
3.0,4.0,0.48069474703461634,
3.0,5.0,0.4882595013313968,
3.0,6.0,0.4158799322198015,
3.0,7.0,0.4659283466473009,
3.0,8.0,0.4258654078915517,
3.0,9.0,0.4476821592834665,
3.0,10.0,0.43763616557734203,
3.0,11.0,0.4254720406681191,
3.0,12.0,0.42901234567901236,
3.0,13.0,0.4297083030743161,
3.0,14.0,0.4425381263616558,
3.0,15.0,0.4305252965383684,
3.0,16.0,0.4480755265068991,
3.0,17.0,0.4488320019365771,
3.0,18.0,0.4636891793754539,
3.0,19.0,0.44798474945533767,
4.0,0.0,0.48447712418300654,
4.0,1.0,0.43751512950859356,
4.0,2.0,0.48145122246429434,
4.0,3.0,0.5149176954732511,
4.0,4.0,0.47724521907528444,
4.0,5.0,0.4844166061486323,
4.0,6.0,0.4122488501573469,
4.0,7.0,0.4669268942144759,
4.0,8.0,0.42665214233841686,
4.0,9.0,0.44559428709755505,
4.0,10.0,0.43772694262890344,
4.0,11.0,0.4241103848946986,
4.0,12.0,0.4256535947712418,
4.0,13.0,0.42610748002904864,
4.0,14.0,0.4425381263616558,
4.0,15.0,0.4330973129992738,
4.0,16.0,0.44517066085693535,
4.0,17.0,0.44737956911159527,
