x,y,t,phi,N,u,vx,vy
29.3125,29.325,0.0,0.38411819021237303,12.0,12.415754251402527,4.695032247520491,7.865101731399744
85.9375,29.325,0.0,0.5096952908587258,14.0,18.168936201753823,9.004032534378824,9.485329082825546
142.5625,29.325,0.0,0.24906015037593984,8.0,18.02039029907568,12.671108229196903,6.762362975630227
199.1875,29.325,0.0,0.3151738996614343,11.0,22.782330448170114,2.963243227429675,-4.17325994040241
255.8125,29.325,0.0,0.5198522622345337,17.0,13.46723915405682,-1.6180426447560574,-5.642733295654027
312.4375,29.325,0.0,0.5504385964912281,17.0,18.83696226143793,-0.4002253625109462,5.973059893349427
369.0625,29.325,0.0,0.4899969221298861,17.0,11.817232188487656,2.7467246502766685,-6.21328112620768
425.6875,29.325,0.0,0.5140043090181594,21.0,11.916777786258534,-4.679790613938819,-4.287698450068275
29.3125,85.975,0.0,0.44321329639889195,13.0,9.521671979355492,0.049526520725580864,-2.615829286338456
85.9375,85.975,0.0,0.4622960911049554,13.0,15.582696597773012,4.24395972990292,-11.44174722687268
142.5625,85.975,0.0,0.4483082706766917,15.0,12.5289565447988,11.1249658079296,-2.3695512492521855
199.1875,85.975,0.0,0.5435518621114189,18.0,15.881091180719457,3.1296596885951193,-8.453817844449922
255.8125,85.975,0.0,0.6297322253000923,19.0,20.73823992782298,4.09737104597251,-5.065570601862832
312.4375,85.975,0.0,0.6071428571428571,17.0,15.55308121332451,-4.151053325276958,-3.922008856384585
369.0625,85.975,0.0,0.5195444752231456,17.0,12.381615202516343,1.8226082737919966,5.606782127183788
425.6875,85.975,0.0,0.47799322868574945,17.0,10.485628034541396,2.88678992770314,-4.135660768065197
29.3125,142.625,0.0,0.4598997493734336,14.0,18.646227375905607,-2.9673557950445715,-15.622664452905042
85.9375,142.625,0.0,0.2816416040100251,9.0,17.65247050224333,10.947704375495086,6.04970720860071
142.5625,142.625,0.0,0.42251275510204084,16.0,19.384278186629885,16.365203358982154,-1.4990656883691371
199.1875,142.625,0.0,0.38596491228070173,12.0,23.756516151841954,16.223854083292824,-7.018095505345926
255.8125,142.625,0.0,0.5294486215538847,19.0,14.792936180251287,10.376737788001591,-6.854586211126382
312.4375,142.625,0.0,0.5188137755102041,15.0,24.66074194623086,-1.6305631642458067,-20.11622353834285
369.0625,142.625,0.0,0.5106516290726817,16.0,12.13883944871619,1.1757018440318756,-4.012432758745898
425.6875,142.625,0.0,0.5426065162907269,18.0,15.80573271646773,-3.7771171583830037,-0.14015510843970347
29.3125,199.27499999999998,0.0,0.4121268082486919,14.0,17.139934487078353,4.2005431931333055,-9.25840489097944
85.9375,199.27499999999998,0.0,0.5395506309633733,16.0,18.279982949844236,13.207412399405229,5.164283925884531
142.5625,199.27499999999998,0.0,0.4808897243107769,14.0,18.21725089253096,7.138818992421183,-5.467709263227263
199.1875,199.27499999999998,0.0,0.38935056940597107,12.0,11.8967226509227,2.506124829135619,-5.638205949981955
255.8125,199.27499999999998,0.0,0.4056632810095414,13.0,12.619448803543513,4.95064293260644,-6.884684351318078
312.4375,199.27499999999998,0.0,0.40852130325814534,14.0,12.957770062344325,-1.4901939193592082,-5.414288456063538
369.0625,199.27499999999998,0.0,0.5084641428131733,14.0,15.737308481885282,8.031266065611808,-5.537436106543569
425.6875,199.27499999999998,0.0,0.5158510310864881,18.0,17.8434380251085,-0.12561039515073721,-5.727758407365968
29.3125,255.925,0.0,0.4641428131732841,16.0,12.210182234300277,7.339497194030225,-6.226698410436763
85.9375,255.925,0.0,0.49153585718682674,16.0,17.91432594244586,8.082961952480353,-3.410267538818037
142.5625,255.925,0.0,0.3380325814536341,13.0,17.617707704969604,10.496584987004109,-6.419875119045242
199.1875,255.925,0.0,0.5450907971683595,17.0,30.055095226600002,-1.8134097234315814,-14.899806979083907
255.8125,255.925,0.0,0.5213911972914743,16.0,18.795436759426888,-1.3435807326793503,-15.78127639944376
312.4375,255.925,0.0,0.5081453634085213,16.0,12.799694794514968,5.9917788163653185,-6.604384653463779
369.0625,255.925,0.0,0.4336718990458603,12.0,19.97364318500955,10.595380260728104,-5.686504421823777
425.6875,255.925,0.0,0.5152354570637119,16.0,10.030444021148575,0.8757238492581496,-5.119657326309736
29.3125,312.575,0.0,0.38533834586466165,10.0,18.81930771722773,-1.5134653117567594,-15.872464548752742
85.9375,312.575,0.0,0.47963659147869675,16.0,14.687469831582748,0.13480540902287108,-12.457074252521387
142.5625,312.575,0.0,0.5223214285714286,17.0,10.724278434054648,5.032923192091966,-3.3242360247721274
199.1875,312.575,0.0,0.35526315789473684,11.0,16.251222424794125,-3.198220637109056,-9.649442036238883
255.8125,312.575,0.0,0.4357769423558897,13.0,16.313666160333103,2.541542976053622,-2.378485575469725
312.4375,312.575,0.0,0.5325255102040817,12.0,21.727191152364565,-1.3431902310575516,-2.158059027638339
369.0625,312.575,0.0,0.4708646616541353,16.0,14.863882927277022,5.231175064827452,-7.0416967379493975
425.6875,312.575,0.0,0.4448621553884712,16.0,12.546330736703327,5.455788110817352,-6.722495671565346
29.3125,369.225,0.0,0.2917820867959372,8.0,25.3519390378483,3.6565541965983677,-22.16586122102506
85.9375,369.225,0.0,0.45583256386580484,16.0,10.155378724077375,-2.78674584358691,-6.7972671824085005
142.5625,369.225,0.0,0.42606516290726815,14.0,11.616764469697056,-1.4956592194603413,-6.4248737448862885
199.1875,369.225,0.0,0.43890427823945827,17.0,12.023732292177877,-2.877183017151746,-4.640894004688786
255.8125,369.225,0.0,0.4472145275469375,14.0,16.622287076579546,0.48833701771535737,7.18820513522005
312.4375,369.225,0.0,0.6296992481203008,20.0,23.165146060368084,3.753329319964577,-20.205441930359996
369.0625,369.225,0.0,0.422591566635888,13.0,21.189792040292723,1.6333083050208914,-12.908292018597441
425.6875,369.225,0.0,0.41243459526008003,13.0,26.92526506460304,-15.900567747614708,-14.666202573769574
29.3125,425.875,0.0,0.35610957217605416,11.0,12.418058809302932,0.1722471499553083,-8.149782426646203
85.9375,425.875,0.0,0.3816558941212681,13.0,13.055770888246473,-1.6113419394241253,-11.588898248290631
142.5625,425.875,0.0,0.4692982456140351,15.0,21.344725938496875,-2.7963907072336505,-19.534975445042644
199.1875,425.875,0.0,0.5392428439519852,18.0,15.104173198173223,0.6607290287179257,-12.057850542737718
255.8125,425.875,0.0,0.4358264081255771,12.0,17.16029411111539,8.849774215133673,-11.092617459641048
312.4375,425.875,0.0,0.5360275689223057,14.0,17.46537547092947,2.3381337610836184,-15.820851246409266
369.0625,425.875,0.0,0.4293628808864266,14.0,11.408301033790504,-2.0289937757646674,-6.589475518789933
425.6875,425.875,0.0,0.39365958756540476,14.0,12.684559774025246,8.321253123673253,-4.0351821039957665
29.3125,482.525,0.0,0.3706140350877193,10.0,13.64472313133171,-1.0004624400978361,0.5125702657672122
85.9375,482.525,0.0,0.46209273182957394,15.0,9.307302471713111,-1.501964935104674,-6.706113248650062
142.5625,482.525,0.0,0.4362244897959184,15.0,15.1842490926845,-7.871309475912423,-3.848697542573816
199.1875,482.525,0.0,0.3950501253132832,13.0,17.929330798981134,-3.209108597546868,-6.458863392107314
255.8125,482.525,0.0,0.474937343358396,15.0,17.484925754485758,-2.9466756382317594,-7.584730383731604
