FRAME,POS_X,POS_Y,VEL_X,VEL_Y,DIFF_T,TRACK_ID
0.0,1114.236908586489,509.2630096362853,13.744388786406034,-10.256480132581345,12.0,0.0
12.0,1119.7346641010515,513.3656016893178,3.339253123651247,1.8666916177272697,12.0,0.0
24.0,1121.070365350512,512.6189250422269,3.4682748571054844,8.217151429654734,12.0,0.0
36.0,1122.4576752933542,509.332064470365,-5.798359386220113,11.084876155867533,12.0,0.0
48.0,1120.1383315388662,504.898114008018,3.1625924362873548,-2.7418633888414945,12.0,0.0
60.0,1121.403368513381,505.9948593635546,6.369756717723476,-8.40697784843826,12.0,0.0
72.0,1123.9512712004705,509.3576505029299,34.4026194455779,-8.125160924260513,12.0,0.0
84.0,1137.7123189787017,512.6077148726341,33.437357249339925,-3.816581301157953,12.0,0.0
96.0,1151.0872618784376,514.1343473930973,39.87470811889693,3.4459141330998477,12.0,0.0
108.0,1167.0371451259964,512.7559817398574,32.479501673331015,13.407164911383802,12.0,0.0
120.0,1180.0289457953288,507.39311577530384,39.022310327703735,20.538464348828285,12.0,0.0
132.0,1195.6378699264103,499.1777300357725,39.50832618455706,7.134902677792354,12.0,0.0
144.0,1211.4412004002331,496.3237689646556,36.58262077869324,-0.7191795573069726,12.0,0.0
156.0,1226.0742487117104,496.6114407875784,31.11301783992303,14.8252070962684,12.0,0.0
168.0,1238.5194558476796,490.681357949071,34.314273795054646,5.00742857865518,12.0,0.0
0.0,1258.9560615543214,509.0288070585803,21.42565034451934,4.8106156592800176,12.0,1.0
12.0,1267.5263216921292,507.1045607948683,37.69315042040489,-28.584180800491055,12.0,1.0
24.0,1282.6035818602911,518.5382331150647,28.91049134045204,-24.49904993996313,12.0,1.0
36.0,1294.167778396472,528.33785309105,39.28320228018265,-26.804887242401207,12.0,1.0
48.0,1309.881059308545,539.0598079880104,26.5490098214525,-20.227457475168933,12.0,1.0
60.0,1320.500663237126,547.150790978078,20.589508039432758,-27.798968552276904,12.0,1.0
72.0,1328.736466452899,558.2703783989888,32.86381714945776,-12.57870029705714,12.0,1.0
84.0,1341.8819933126822,563.3018585178116,33.67112301551572,9.108696307523871,12.0,1.0
96.0,1355.3504425188885,559.6583799948021,35.843786584748614,-4.1072675601901665,12.0,1.0
108.0,1369.687957152788,561.3012870188782,36.81798087596917,-6.1285331344069505,12.0,1.0
120.0,1384.4151495031756,563.7527002726409,32.074424208227015,-7.197223943675226,12.0,1.0
132.0,1397.2449191864664,566.631589850111,34.41831691131085,1.5015325993201145,12.0,1.0
144.0,1411.0122459509907,566.030976810383,42.16456935988958,6.851507413021807,12.0,1.0
156.0,1427.8780736949466,563.2903738451743,43.608079052058315,4.489696826267675,12.0,1.0
168.0,1445.32130531577,561.4944951146672,51.64984784178216,5.879333819268595,12.0,1.0
0.0,76.64059335723066,168.70130677844173,12.523784805125224,-7.112389068891716,12.0,2.0
12.0,81.65010727928075,171.54626240599842,-2.970645134902554,-0.660424344224495,12.0,2.0
24.0,80.46184922531972,171.81043214368822,-4.621562571630875,-0.25307523942409205,12.0,2.0
36.0,78.61322419666737,171.91166223945785,-11.414423220886789,-2.035038184305762,12.0,2.0
48.0,74.04745490831266,172.72567751318016,-11.663480694299828,7.7793197518658275,12.0,2.0
60.0,69.38206263059273,169.61394961243383,-21.423844011955744,-5.470717017979041,12.0,2.0
0.0,149.59802901452872,170.9488325359577,9.38320807985285,7.36248835354516,12.0,3.0
12.0,153.35131224646986,168.00383719453964,7.174424238706649,6.946665974881654,12.0,3.0
24.0,156.22108194195252,165.22517080458698,5.112939016153604,-1.1680287180148952,12.0,3.0
36.0,158.26625754841396,165.69238229179294,6.506110606398394,-4.4351733525014225,12.0,3.0
48.0,160.86870179097332,167.4664516327935,4.937375500816614,-10.298416757045104,12.0,3.0
60.0,162.84365199129996,171.58581833561155,-4.172880142979238,1.5404338739497803,12.0,3.0
72.0,161.17449993410827,170.96964478603164,1.9916527802451611,8.857851559371426,12.0,3.0
84.0,161.97116104620633,167.42650416228307,2.4798393680618602,11.983865726579168,12.0,3.0
96.0,162.96309679343108,162.6329578716514,-2.740099841605783,17.062643625557072,12.0,3.0
108.0,161.86705685678876,155.80790042142857,-21.888591091332472,17.25159117160949,12.0,3.0
120.0,153.11162042025578,148.90726395278477,-14.021835856405005,7.9595238313741845,12.0,3.0
132.0,147.50288607769377,145.7234544202351,-11.093766172426882,-2.6814660153895886,12.0,3.0
144.0,143.06537960872302,146.79604082639094,-19.463615064368227,-12.738223608249157,12.0,3.0
156.0,135.27993358297573,151.8913302696906,-5.366453484735416,-12.025245468530699,12.0,3.0
168.0,133.13335218908156,156.70142845710288,2.9251196858530903,-11.238171591136563,12.0,3.0
0.0,270.4520563654808,169.68161419646734,-2.097483696647231,-1.4941090175508975,12.0,4.0
12.0,269.6130628868219,170.2792578034877,3.2188118120946285,-7.958674132173158,12.0,4.0
24.0,270.9005876116598,173.46272745635696,4.821664918922295,-12.429189481999927,12.0,4.0
36.0,272.8292535792287,178.43440324915693,6.164243205347333,-1.8162681359896027,12.0,4.0
48.0,275.2949508613676,179.16091050355277,10.170440157904608,7.054473733330724,12.0,4.0
60.0,279.36312692452947,176.33912101022048,8.024670870958062,3.135583399656099,12.0,4.0
72.0,282.5729952729127,175.08488765035804,7.9420470410364885,10.286301365176058,12.0,4.0
84.0,285.7498140893273,170.97036710428762,12.330560319007446,-0.5918166902645794,12.0,4.0
96.0,290.68203821693027,171.20709378039345,8.009598698440215,-9.762406763942195,12.0,4.0
